Energy,Value,Error,Cells
1.2e-05,5.3444630664792685e-09,0.0343984613821101,5.04 cm
1.275e-05,5.489835176676607e-09,0.03369243675580413,5.04 cm
1.35e-05,5.620391025609212e-09,0.03304645651143084,5.04 cm
1.425e-05,5.757411553997136e-09,0.03245488255854349,5.04 cm
1.5e-05,5.886372432914315e-09,0.031896766740404245,5.04 cm
1.6e-05,6.071881069217433e-09,0.031282589695780606,5.04 cm
1.7e-05,6.232198261616254e-09,0.03071615763363331,5.04 cm
1.8e-05,6.39093577569358e-09,0.03015041979148681,5.04 cm
1.9e-05,6.513411122845538e-09,0.02970447187848305,5.04 cm
2e-05,6.646664333910565e-09,0.0292258181132095,5.04 cm
2.1e-05,6.737677715877361e-09,0.028898751081528482,5.04 cm
2.2e-05,6.888895887002825e-09,0.028466341787469235,5.04 cm
2.3e-05,7.00534167289949e-09,0.028101448673052302,5.04 cm
2.4e-05,7.11615177450574e-09,0.02777499731460351,5.04 cm
2.55e-05,7.305885088795679e-09,0.027746891841217418,5.04 cm
2.7e-05,7.466516455997073e-09,0.027480512033022878,5.04 cm
2.8e-05,7.56819092894147e-09,0.02718863330281382,5.04 cm
3e-05,7.722650475795549e-09,0.026761843167973445,5.04 cm
3.2e-05,7.868392830339874e-09,0.026342153808829413,5.04 cm
3.4e-05,8.026115995386472e-09,0.025959667673634168,5.04 cm
3.6e-05,8.205872174463707e-09,0.025546296786961287,5.04 cm
3.8e-05,8.323690969121472e-09,0.02526343461244434,5.04 cm
4e-05,8.437946335708749e-09,0.024981524385031265,5.04 cm
4.25e-05,8.585688658465326e-09,0.024629062250064754,5.04 cm
4.5e-05,8.734582955498009e-09,0.024289143576836945,5.04 cm
4.75e-05,8.87241394366425e-09,0.023995492777637035,5.04 cm
5e-05,8.981739360805243e-09,0.023752872440448578,5.04 cm
5.25e-05,9.097701373112106e-09,0.023506491915103903,5.04 cm
5.5e-05,9.207733915251219e-09,0.023294246683653607,5.04 cm
5.75e-05,9.304315790732068e-09,0.023092825395200883,5.04 cm
6e-05,9.423220295658905e-09,0.0228553519676251,5.04 cm
6.3e-05,9.543253142243951e-09,0.022633056091325453,5.04 cm
6.6e-05,9.641479569899333e-09,0.02244276460997331,5.04 cm
6.9e-05,9.76801787379018e-09,0.022217951939778376,5.04 cm
7.2e-05,9.860827334716821e-09,0.022044033861847705,5.04 cm
7.6e-05,9.990165872135619e-09,0.021810397650182844,5.04 cm
8e-05,1.0122011783974367e-08,0.021597889050564544,5.04 cm
8.4e-05,1.026120558643909e-08,0.021407604133173094,5.04 cm
8.8e-05,1.0375988284774637e-08,0.021226952308577594,5.04 cm
9.2e-05,1.0516871124341691e-08,0.021014786621878643,5.04 cm
9.6e-05,1.0617143395291118e-08,0.020891112380946507,5.04 cm
0.0001,1.0700122613943725e-08,0.0207599653626861,5.04 cm
0.000105,1.0807604686889086e-08,0.020592008605673902,5.04 cm
0.00011,1.0901434984231758e-08,0.020453433503672208,5.04 cm
0.000115,1.0999350017392555e-08,0.020300255515587003,5.04 cm
0.00012,1.1097793309070952e-08,0.02017277480390323,5.04 cm
0.0001275,1.1237545490056474e-08,0.019977847361028252,5.04 cm
0.000135,1.1363083809841192e-08,0.01980457107194837,5.04 cm
0.0001425,1.1505611664967443e-08,0.019610079706821992,5.04 cm
0.00015,1.1631088354591775e-08,0.019438405259795618,5.04 cm
0.00016,1.1772993420728853e-08,0.019242679946541122,5.04 cm
0.00017,1.1894619383790669e-08,0.019097824394319035,5.04 cm
0.00018,1.2009729695084065e-08,0.01894841735985734,5.04 cm
