Time,Value,Error,Energy
1.52e-06,0.0723418175487105,0.006,0.1054015093750621
1.53e-06,0.07231177492488948,0.0061,0.10402798638930817
1.54e-06,0.06818086525602869,0.0062,0.10268113922544235
1.55e-06,0.06679727821779405,0.0063,0.1013602815145589
1.56e-06,0.06708884349694312,0.0063,0.10006474882283856
1.57e-06,0.06210012782744784,0.0063,0.0987938978155864
1.5800000000000001e-06,0.061676400742605955,0.0064,0.09754710545944816
1.59e-06,0.0631099829466742,0.0064,0.09632376825675495
1.6e-06,0.06223393157109521,0.0065,0.09512330151596014
1.61e-06,0.062489026187830164,0.0064,0.09394513865295272
1.62e-06,0.06170431793418288,0.0065,0.09278873052157832
1.63e-06,0.06100216649291874,0.0065,0.09165354477357643
1.64e-06,0.057982464822639065,0.0066,0.09053906524605608
1.65e-06,0.05551885737796846,0.0067,0.08944479137463256
1.66e-06,0.05539664752897717,0.0067,0.08837023763076453
1.67e-06,0.0510468319239059,0.0067,0.08731493298266604
1.68e-06,0.044629002957031934,0.007,0.08627842038021026
1.6900000000000001e-06,0.03388356430358649,0.0076,0.08526025625819231
1.7e-06,0.02091140971059088,0.0093,0.0842600100629582
1.71e-06,0.021120976196671536,0.0105,0.08327726379655831
1.72e-06,0.07029797979294139,0.0074,0.08231161158009424
1.73e-06,0.13069642591204175,0.0065,0.08136265923396453
1.74e-06,0.136206496884182,0.0064,0.08043002387584343
1.75e-06,0.12117419592786347,0.0064,0.07951333353472388
1.76e-06,0.10506095358402527,0.0066,0.07861222677935559
1.77e-06,0.08351497517688562,0.0071,0.07772635236170412
1.7800000000000001e-06,0.06649453682277216,0.0076,0.07685536887543122
1.79e-06,0.05391081493969502,0.008,0.07599894442605781
1.8000000000000001e-06,0.04141208304628461,0.0084,0.07515675631489664
1.81e-06,0.0235460454657944,0.0103,0.07432849073508489
1.82e-06,0.03176140660664178,0.0105,0.07351384247909143
1.83e-06,0.07062237196774984,0.0083,0.07271251465728104
1.84e-06,0.08414526485373638,0.0077,0.07192421842795312
1.85e-06,0.08701994057965783,0.0075,0.0711486727363513
1.86e-06,0.09441418265521075,0.0076,0.07038560406410427
1.87e-06,0.09398156073117668,0.0078,0.06963474618888928
1.88e-06,0.08764316989448283,0.0082,0.06889583995035446
1.8900000000000001e-06,0.07871674455274642,0.0086,0.06816863302855852
1.9e-06,0.0708668550876113,0.0089,0.06745287972700038
1.91e-06,0.06734526208446491,0.009,0.06674834076566274
1.9200000000000003e-06,0.0626760815017707,0.0093,0.06605478308052297
1.93e-06,0.060960324770970825,0.0095,0.06537197963161777
1.94e-06,0.0583877969263794,0.0096,0.0646997092161148
1.95e-06,0.055873152058723445,0.0097,0.06403775628993788
1.96e-06,0.05422889205072803,0.0099,0.06338591079460795
1.97e-06,0.05290083209027558,0.01,0.06274396799034264
1.98e-06,0.05201389405738559,0.01,0.062111728295623406
1.99e-06,0.05168014851412816,0.0101,0.06148899713239538
2e-06,0.05146532525767002,0.0102,0.060875584774814
2.0100000000000002e-06,0.05241400601327208,0.0102,0.06027130620675378
2.02e-06,0.05201582282611663,0.0102,0.05967598098036032
2.03e-06,0.05087388876678736,0.0104,0.059089433082738604
2.04e-06,0.0526396703762283,0.0103,0.0585114908049363
2.05e-06,0.052378429572029164,0.0104,0.05794198661697703
2.06e-06,0.051720677187943064,0.0105,0.05738075704539736
2.07e-06,0.051215826192235636,0.0105,0.0568276425570423
2.08e-06,0.05120233834501267,0.0105,0.05628248744494733
2.09e-06,0.04905735935553241,0.0107,0.05574513971880994
2.1000000000000002e-06,0.04742852938096821,0.0108,0.055215450999216605
2.11e-06,0.04576430609956744,0.0109,0.05469327641520765
2.12e-06,0.045467899485362194,0.0109,0.054178474505180214
2.13e-06,0.04197010811148638,0.0111,0.05367090712071189
2.14e-06,0.03938396343792088,0.0113,0.05317043933434832
2.15e-06,0.03827761211568085,0.0115,0.05267693934947697
2.16e-06,0.0384092283799697,0.0118,0.052190278414373466
2.17e-06,0.04239323358329097,0.0115,0.05171033073687383
2.18e-06,0.049865178721051485,0.011,0.05123697340405362
2.19e-06,0.05340975784556225,0.0107,0.05077008630315897
2.2e-06,0.05570907067741516,0.0108,0.05030955204566684
2.21e-06,0.05633161179626883,0.0107,0.04985525589322309
2.22e-06,0.05502511351741549,0.0108,0.049407085686501116
2.2300000000000002e-06,0.053969295272288574,0.0109,0.04896493177510378
2.24e-06,0.054057591615440985,0.0112,0.04852868695184636
2.25e-06,0.052575045909722055,0.0113,0.048098246386205024
2.26e-06,0.05191989237474657,0.0114,0.04767350756277237
2.27e-06,0.04839267797437309,0.0114,0.047254370219087
2.28e-06,0.04943919353505552,0.0116,0.0468407362874271
2.29e-06,0.05026073993404998,0.0116,0.046432509836186575
2.3e-06,0.048913968493496295,0.0118,0.04602959701584119
2.31e-06,0.04993485741807866,0.0121,0.04563190600345411
2.3200000000000002e-06,0.05018157496208128,0.012,0.045239346951354106
2.33e-06,0.04904102743922582,0.012,0.04485183193602228
2.34e-06,0.04957093887632013,0.012,0.044469274909065125
2.35e-06,0.04865845120485176,0.0124,0.04409159164860476
2.36e-06,0.04685168518911757,0.0124,0.04371869971463313
2.37e-06,0.04743014627327234,0.0124,0.04335051840227988
2.38e-06,0.04524786799359405,0.0126,0.04298696869862691
2.39e-06,0.045398203914620676,0.0125,0.042627973240774636
2.4e-06,0.04550174616622435,0.0127,0.04227345627474281
2.4100000000000002e-06,0.044362984480565706,0.0128,0.04192334361478856
2.42e-06,0.04376388828245998,0.013,0.04157756260460202
2.43e-06,0.043892233304585096,0.0132,0.04123604208100556
2.44e-06,0.04354405942683759,0.0131,0.04089871233514941
2.4500000000000003e-06,0.04382190131561414,0.0133,0.04056550507892301
2.46e-06,0.04480048209173645,0.0134,0.040236353408862745
2.47e-06,0.04406116670895908,0.0136,0.03991119177402372
2.48e-06,0.04323527332355057,0.0135,0.03958995594197372
2.49e-06,0.04334382293208933,0.0137,0.03927258296770809
2.5e-06,0.04240269469254267,0.0138,0.03895901116298176
2.51e-06,0.041853134211869966,0.0138,0.03864918006564133
2.52e-06,0.04216170370447789,0.0138,0.038343030411669234
2.53e-06,0.04288402280037559,0.014,0.03804050410576758
2.5400000000000002e-06,0.04001173408855132,0.014,0.03774154419381958
2.55e-06,0.04080000245576324,0.0144,0.03744609483660276
2.56e-06,0.0399519745708709,0.0143,0.037154101283710744
2.57e-06,0.04054417608880908,0.0142,0.03686550984768377
2.58e-06,0.03962730338799506,0.0143,0.036580267879808046
2.59e-06,0.03800805092854442,0.0147,0.036298323745915295
2.6e-06,0.039476703149660244,0.0146,0.03601962680259938
2.61e-06,0.03900588513752015,0.0145,0.03574412737572794
2.62e-06,0.03804929013404261,0.0147,0.03547177673624181
2.6300000000000002e-06,0.037344231684611574,0.015,0.03520252708117009
