Energy,Cells,Value,Error
0.000115,36.5,0.0,
0.00012,36.5,0.0,
0.0001275,36.5,0.0,
0.000135,36.5,0.0,
0.0001425,36.5,0.0,
0.00015,36.5,0.0,
0.00016,36.5,0.0,
0.00017,36.5,0.0,
0.00018,36.5,0.0,
0.00019,36.5,0.0,
0.0002,36.5,0.0,
0.00021,36.5,0.0,
0.00022,36.5,0.0,
0.00023,36.5,0.0,
0.00024,36.5,0.0,
0.000255,36.5,0.0,
0.00027,36.5,0.0,
0.00028,36.5,0.0,
0.0003,36.5,0.0,
0.00032,36.5,0.0,
0.00034,36.5,0.0,
0.00036,36.5,0.0,
0.00038,36.5,0.0,
0.0004,36.5,0.0,
0.000425,36.5,0.0,
0.00045,36.5,0.0,
0.000475,36.5,0.0,
0.0005,36.5,0.0,
0.000525,36.5,0.0,
0.00055,36.5,0.0,
0.000575,36.5,0.0,
0.0006,36.5,0.0,
0.00063,36.5,0.0,
0.00066,36.5,0.0,
0.00069,36.5,0.0,
0.00072,36.5,0.0,
0.00076,36.5,0.0,
0.0008,36.5,0.0,
0.00084,36.5,0.0,
0.00088,36.5,0.0,
0.00092,36.5,0.0,
0.00096,36.5,0.0,
0.001,36.5,0.0,
0.00105,36.5,0.0,
0.0011,36.5,0.0,
0.00115,36.5,0.0,
0.0012,36.5,0.0,
0.001275,36.5,0.0,
0.00135,36.5,0.0,
0.001425,36.5,0.0,
0.0015,36.5,0.0,
0.0016,36.5,0.0,
0.0017,36.5,0.0,
0.0018,36.5,0.0,
0.0019,36.5,0.0,
0.002,36.5,0.0,
0.0021,36.5,0.0,
0.0022,36.5,0.0,
0.0023,36.5,0.0,
0.0024,36.5,0.0,
0.00255,36.5,0.0,
0.0027,36.5,0.0,
0.0028,36.5,0.0,
0.003,36.5,0.0,
0.0032,36.5,0.0,
0.0034,36.5,0.0,
0.0036,36.5,0.0,
0.0038,36.5,0.0,
0.004,36.5,0.0,
0.00425,36.5,0.0,
0.0045,36.5,0.0,
0.00475,36.5,0.0,
0.005,36.5,0.0,
0.00525,36.5,0.0,
0.0055,36.5,0.0,
0.00575,36.5,0.0,
0.006,36.5,0.0,
0.0063,36.5,0.0,
0.0066,36.5,0.0,
0.0069,36.5,0.0,
0.0072,36.5,0.0,
0.0076,36.5,0.0,
0.008,36.5,0.0,
0.0084,36.5,0.0,
0.0088,36.5,0.0,
0.0092,36.5,0.0,
0.0096,36.5,0.0,
0.01,36.5,0.0,
0.0105,36.5,0.0,
0.011,36.5,0.0,
0.0115,36.5,0.0,
0.012,36.5,0.0,
0.01275,36.5,0.0,
0.0135,36.5,0.0,
0.01425,36.5,0.0,
0.015,36.5,0.0,
0.016,36.5,0.0,
0.017,36.5,0.0,
0.018,36.5,0.0,
0.019,36.5,0.0,
0.02,36.5,0.0,
0.021,36.5,0.0,
0.022,36.5,0.0,
0.023,36.5,0.0,
0.024,36.5,0.0,
0.0255,36.5,0.0,
0.027,36.5,0.0,
0.028,36.5,0.0,
0.03,36.5,0.0,
0.032,36.5,0.0,
0.034,36.5,0.0,
0.036,36.5,0.0,
0.038,36.5,0.0,
0.04,36.5,0.0,
0.0425,36.5,0.0,
0.045,36.5,0.0,
0.0475,36.5,0.0,
0.05,36.5,0.0,
0.0525,36.5,0.0,
0.055,36.5,0.0,
0.0575,36.5,0.0,
0.06,36.5,0.0,
0.063,36.5,0.0,
0.066,36.5,0.0,
0.069,36.5,0.0,
0.072,36.5,0.0,
0.076,36.5,0.0,
0.08,36.5,0.0,
0.084,36.5,0.0,
0.088,36.5,0.0,
0.092,36.5,0.0,
0.096,36.5,0.0,
0.1,36.5,0.0,
0.105,36.5,0.0,
0.11,36.5,0.0,
0.115,36.5,0.0,
0.12,36.5,0.0,
0.1275,36.5,0.0,
0.135,36.5,0.0,
0.1425,36.5,0.0,
0.15,36.5,0.0,
0.16,36.5,0.0,
0.17,36.5,0.0,
0.18,36.5,0.0,
0.19,36.5,0.0,
0.2,36.5,0.0,
0.21,36.5,0.0,
0.22,36.5,0.0,
0.23,36.5,0.0,
0.24,36.5,0.0,
0.255,36.5,0.0,
0.27,36.5,0.0,
0.28,36.5,0.0,
0.3,36.5,0.0,
0.32,36.5,0.0,
0.34,36.5,1.6563974825273892e-05,
0.36,36.5,0.012386965081799201,
0.38,36.5,0.061839024056489715,
0.4,36.5,0.16102977699965243,
0.425,36.5,0.5398043028774805,
0.45,36.5,0.6347629744418665,
0.475,36.5,0.8006919516702312,
0.5,36.5,1.1079387251857664,
0.525,36.5,1.4340748744906076,
0.55,36.5,1.8564231073869417,
0.575,36.5,2.7027019021045584,
0.6,36.5,3.7150785422685964,
0.63,36.5,4.467195796042543,
0.66,36.5,5.433915761767199,
0.69,36.5,6.473173835782456,
0.72,36.5,8.377044968189983,
0.76,36.5,12.763105109237195,
0.8,36.5,15.51002812294818,
0.84,36.5,18.336599349184656,
0.88,36.5,22.129986518474027,
0.92,36.5,24.615292196299492,
0.96,36.5,28.341119108457242,
1.0,36.5,31.645916827486413,
1.1,36.5,42.75486456363646,
1.2,36.5,51.15873021322213,
1.3,36.5,56.63737550703721,
1.4,36.5,61.0956261628079,
1.5,36.5,64.20468201187539,
1.6,36.5,67.63955495048089,
1.7,36.5,70.89002171978375,
1.8,36.5,73.65162667073278,
1.9,36.5,76.49061010009366,
2.0,36.5,79.15566704680238,
2.1,36.5,81.37962905382689,
2.2,36.5,83.63317153281149,
2.3,36.5,85.4812318488506,
2.4,36.5,87.17941708189677,
2.5,36.5,88.58919303757983,
2.6,36.5,89.80760187368143,
2.7,36.5,90.96888215063777,
2.8,36.5,91.81711940164772,
2.9,36.5,92.619105956376,
3.0,36.5,93.31343967058903,
3.1,36.5,93.93751538655252,
3.2,36.5,94.56691265626931,
3.3,36.5,95.10824813334901,
3.4,36.5,95.5790402741763,
3.5,36.5,95.9318127260481,
3.6,36.5,96.23081751135103,
3.7,36.5,96.50520631684635,
3.8,36.5,96.75046314984245,
3.9,36.5,96.97651115818515,
4.0,36.5,97.15926470165483,
4.1,36.5,97.33970402422226,
4.2,36.5,97.54891073514071,
4.3,36.5,97.69028923060304,
4.4,36.5,97.84465086459367,
4.5,36.5,97.96844462743522,
4.6,36.5,98.10287903350068,
4.7,36.5,98.20814061185285,
4.8,36.5,98.33146732826337,
4.9,36.5,98.41747144480256,
5.0,36.5,98.51959067354872,
5.1,36.5,98.59922721315591,
5.2,36.5,98.6876136426208,
5.3,36.5,98.75074597274441,
5.4,36.5,98.81696060179438,
5.5,36.5,98.87592816436805,
5.6,36.5,98.93553112279447,
5.7,36.5,99.0114845972802,
5.8,36.5,99.06671358352098,
5.9,36.5,99.13705822076415,
6.0,36.5,99.19893467457788,
6.1,36.5,99.25793297583643,
6.2,36.5,99.3113639435619,
6.3,36.5,99.34996161520873,
6.4,36.5,99.39209229012731,
6.5,36.5,99.42600458206809,
6.6,36.5,99.47443461219616,
6.7,36.5,99.50682319920166,
6.8,36.5,99.5303599788028,
6.9,36.5,99.56490623990629,
7.0,36.5,99.59354495378795,
7.1,36.5,99.60321070081535,
7.2,36.5,99.63387645586931,
7.3,36.5,99.6572233819393,
7.4,36.5,99.6801494993046,
7.5,36.5,99.69608893409118,
7.6,36.5,99.72417868359514,
7.7,36.5,99.740475971147,
7.8,36.5,99.75715085166603,
7.9,36.5,99.76924048017818,
8.0,36.5,99.78003143168004,
8.1,36.5,99.79403253947338,
8.2,36.5,99.81836878427892,
8.3,36.5,99.83368365308695,
8.4,36.5,99.83901596278598,
8.5,36.5,99.854937615827,
8.6,36.5,99.86272581285579,
8.7,36.5,99.87056395700496,
8.8,36.5,99.87952061315546,
8.9,36.5,99.89152668951242,
9.0,36.5,99.90323115063046,
9.1,36.5,99.91006502173876,
9.2,36.5,99.91681907602572,
9.3,36.5,99.9203086301016,
9.4,36.5,99.92598620786305,
9.5,36.5,99.93260619219839,
9.6,36.5,99.93499505752222,
9.7,36.5,99.94040059143776,
9.8,36.5,99.94501467555283,
9.9,36.5,99.94767958464259,
10.0,36.5,99.95736758803422,
10.1,36.5,99.96302742814781,
10.2,36.5,99.96668395035005,
10.3,36.5,99.97151145432133,
10.4,36.5,99.97704557191689,
10.5,36.5,99.97957737601627,
10.6,36.5,99.98027489254618,
10.7,36.5,99.98347272742387,
10.8,36.5,99.98438824607896,
10.9,36.5,99.98547070432662,
11.0,36.5,99.98626494265757,
11.1,36.5,99.98700033910438,
11.2,36.5,99.98872218534281,
11.3,36.5,99.98962371854479,
11.4,36.5,99.99009407359966,
11.5,36.5,99.99223123448924,
11.6,36.5,99.99258748806473,
11.7,36.5,99.99314000749453,
11.8,36.5,99.99377519971968,
11.9,36.5,99.99377519971968,
12.0,36.5,99.99477475041662,
12.1,36.5,99.99477475041662,
12.2,36.5,99.99595771897577,
12.3,36.5,99.99667241544748,
12.4,36.5,99.99717463497532,
12.5,36.5,99.99717463497532,
12.6,36.5,99.99809890702215,
12.7,36.5,99.99809890702215,
12.8,36.5,99.99853848577945,
12.9,36.5,99.99886603175788,
13.0,36.5,99.99886603175788,
13.1,36.5,99.99886603175788,
13.2,36.5,99.99886603175788,
13.3,36.5,99.99886603175788,
13.4,36.5,99.99886603175788,
13.5,36.5,99.99928445399927,
13.6,36.5,99.99928445399927,
13.7,36.5,99.99928445399927,
13.8,36.5,99.99928445399927,
13.9,36.5,99.99928445399927,
14.0,36.5,99.99928445399927,
14.1,36.5,99.99928445399927,
14.2,36.5,99.99928445399927,
14.3,36.5,99.99928445399927,
14.4,36.5,99.99928445399927,
14.5,36.5,99.99928445399927,
14.6,36.5,99.99928445399927,
14.7,36.5,99.99967491052237,
14.8,36.5,99.99967491052237,
14.9,36.5,99.99967491052237,
15.0,36.5,99.99967491052237,
15.1,36.5,99.99967491052237,
15.2,36.5,99.99967491052237,
15.3,36.5,99.99967491052237,
15.4,36.5,99.99967491052237,
15.5,36.5,99.99967491052237,
15.6,36.5,99.99967491052237,
15.7,36.5,100.0,
15.8,36.5,100.0,
15.9,36.5,100.0,
16.0,36.5,100.0,
16.1,36.5,100.0,
16.2,36.5,100.0,
16.3,36.5,100.0,
16.4,36.5,100.0,
16.5,36.5,100.0,
16.6,36.5,100.0,
16.7,36.5,100.0,
16.8,36.5,100.0,
16.9,36.5,100.0,
17.0,36.5,100.0,
17.1,36.5,100.0,
17.2,36.5,100.0,
17.3,36.5,100.0,
17.4,36.5,100.0,
17.5,36.5,100.0,
17.6,36.5,100.0,
17.7,36.5,100.0,
17.8,36.5,100.0,
17.9,36.5,100.0,
18.0,36.5,100.0,
18.1,36.5,100.0,
18.2,36.5,100.0,
18.3,36.5,100.0,
18.4,36.5,100.0,
18.5,36.5,100.0,
18.6,36.5,100.0,
